post_at_local,post_date,post_time,account,language,file_path,filename,category,theme,part,parts,palette,caption,alt_text,hashtags
2026-08-17 01:00,2026-08-17,01:00,speaksilq_pashto,Pashto,01_pashto/pashto_11-emotions-feelings_p1of3_people.png,pashto_11-emotions-feelings_p1of3_people.png,Emotions & Feelings,people,1,3,blush,"English vs Pashto — Emotions & Feelings (part 1 of 3)
Happiness = Khushaali · Sadness = Khapagaan · Love = Meena
Learn Pashto and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Pashto"", subtitle ""Emotions & Feelings"", listing 10 English words with their Pashto romanisations.",#SpeakSilq #LearnPashto #Pashto #LanguageLearning #Vocabulary #EmotionsFeelings
2026-08-17 13:00,2026-08-17,13:00,speaksilq_pashto,Pashto,01_pashto/pashto_14-food-drink_p1of4_food.png,pashto_14-food-drink_p1of4_food.png,Food & Drink,food,1,4,lemon-ice,"English vs Pashto — Food & Drink (part 1 of 4)
Food = Khwara · Bread / meal = Dodai · Water = Oba
Learn Pashto and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Pashto"", subtitle ""Food & Drink"", listing 10 English words with their Pashto romanisations.",#SpeakSilq #LearnPashto #Pashto #LanguageLearning #Vocabulary #FoodDrink
2026-08-18 01:00,2026-08-18,01:00,speaksilq_pashto,Pashto,01_pashto/pashto_22-travel-transport_p3of3_travel.png,pashto_22-travel-transport_p3of3_travel.png,Travel & Transport,travel,3,3,sky,"English vs Pashto — Travel & Transport (part 3 of 3)
Traffic = Terafik · Delay = Dzand · Arrival = Raatag
Learn Pashto and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Pashto"", subtitle ""Travel & Transport"", listing 11 English words with their Pashto romanisations.",#SpeakSilq #LearnPashto #Pashto #LanguageLearning #Vocabulary #TravelTransport
2026-08-18 13:00,2026-08-18,13:00,speaksilq_pashto,Pashto,01_pashto/pashto_34-sports-leisure_p1of2_learn.png,pashto_34-sports-leisure_p1of2_learn.png,Sports & Leisure,learn,1,2,rose-quartz,"English vs Pashto — Sports & Leisure (part 1 of 2)
Game / sport = Loba · Football = Futbaal · Cricket = Kriket
Learn Pashto and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Pashto"", subtitle ""Sports & Leisure"", listing 10 English words with their Pashto romanisations.",#SpeakSilq #LearnPashto #Pashto #LanguageLearning #Vocabulary #SportsLeisure
2026-08-19 01:00,2026-08-19,01:00,speaksilq_pashto,Pashto,01_pashto/pashto_03-question-words_p2of3_social.png,pashto_03-question-words_p2of3_social.png,Question Words & Connectors,social,2,3,pistachio,"English vs Pashto — Question Words & Connectors (part 2 of 3)
And = Aw · Or = Yaa · But = Kho
Learn Pashto and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Pashto"", subtitle ""Question Words & Connectors"", listing 10 English words with their Pashto romanisations.",#SpeakSilq #LearnPashto #Pashto #LanguageLearning #Vocabulary #QuestionWords
2026-08-19 13:00,2026-08-19,13:00,speaksilq_pashto,Pashto,01_pashto/pashto_20-shopping-money_p1of3_home.png,pashto_20-shopping-money_p1of3_home.png,Shopping & Money,home,1,3,powder-blue,"English vs Pashto — Shopping & Money (part 1 of 3)
Shop = Dukaan · Shopkeeper = Dukaandaar · Market = Baazaar
Learn Pashto and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Pashto"", subtitle ""Shopping & Money"", listing 10 English words with their Pashto romanisations.",#SpeakSilq #LearnPashto #Pashto #LanguageLearning #Vocabulary #ShoppingMoney
2026-08-20 01:00,2026-08-20,01:00,speaksilq_pashto,Pashto,01_pashto/pashto_10-family-relationships_p2of3_people.png,pashto_10-family-relationships_p2of3_people.png,Family & Relationships,people,2,3,coral-mist,"English vs Pashto — Family & Relationships (part 2 of 3)
Wife = Shaza · Grandfather = Nika · Grandmother = Anaa
Learn Pashto and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Pashto"", subtitle ""Family & Relationships"", listing 12 English words with their Pashto romanisations.",#SpeakSilq #LearnPashto #Pashto #LanguageLearning #Vocabulary #FamilyRelationships
2026-08-20 13:00,2026-08-20,13:00,speaksilq_pashto,Pashto,01_pashto/pashto_29-common-verbs_p5of5_learn.png,pashto_29-common-verbs_p5of5_learn.png,Common Verbs,learn,5,5,honeydew,"English vs Pashto — Common Verbs (part 5 of 5)
To like = Khwashedal · To bring = Raawral · To send = Lejal
Learn Pashto and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Pashto"", subtitle ""Common Verbs"", listing 11 English words with their Pashto romanisations.",#SpeakSilq #LearnPashto #Pashto #LanguageLearning #Vocabulary #CommonVerbs
2026-08-21 01:00,2026-08-21,01:00,speaksilq_pashto,Pashto,01_pashto/pashto_01-greetings-courtesy_p1of3_social.png,pashto_01-greetings-courtesy_p1of3_social.png,Greetings & Courtesy,social,1,3,periwinkle,"English vs Pashto — Greetings & Courtesy (part 1 of 3)
Peace be upon you (hello) = Assalam alaikum · And peace be upon you (reply) = Wa alaikum assalam · Hello / Hi = Salam
Learn Pashto and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Pashto"", subtitle ""Greetings & Courtesy"", listing 12 English words with their Pashto romanisations.",#SpeakSilq #LearnPashto #Pashto #LanguageLearning #Vocabulary #GreetingsCourtesy
2026-08-21 13:00,2026-08-21,13:00,speaksilq_pashto,Pashto,01_pashto/pashto_09-daily-routine_p1of3_time.png,pashto_09-daily-routine_p1of3_time.png,Daily Routine & Habits,time,1,3,peach,"English vs Pashto — Daily Routine & Habits (part 1 of 3)
Daily routine = Wradzani kaaruna · To get up = Paatsedal · To wash the face = Mukh winzal
Learn Pashto and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Pashto"", subtitle ""Daily Routine & Habits"", listing 12 English words with their Pashto romanisations.",#SpeakSilq #LearnPashto #Pashto #LanguageLearning #Vocabulary #DailyRoutine
