post_at_local,post_date,post_time,account,language,file_path,filename,category,theme,part,parts,palette,caption,alt_text,hashtags
2026-08-17 01:00,2026-08-17,01:00,speaksilq_urdu,Urdu,04_urdu/urdu_15-fruits-vegetables_p2of2_food.png,urdu_15-fruits-vegetables_p2of2_food.png,Fruits & Vegetables,food,2,2,blush,"English vs Urdu — Fruits & Vegetables (part 2 of 2)
Potato = Aloo · Onion = Pyaz · Tomato = Tamatar
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""Fruits & Vegetables"", listing 15 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #FruitsVegetables
2026-08-17 13:00,2026-08-17,13:00,speaksilq_urdu,Urdu,04_urdu/urdu_10-family-relationships_p3of3_people.png,urdu_10-family-relationships_p3of3_people.png,Family & Relationships,people,3,3,lemon-ice,"English vs Urdu — Family & Relationships (part 3 of 3)
Granddaughter = Poti · Father-in-law = Susar · Mother-in-law = Saas
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""Family & Relationships"", listing 11 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #FamilyRelationships
2026-08-18 01:00,2026-08-18,01:00,speaksilq_urdu,Urdu,04_urdu/urdu_03-question-words_p2of2_social.png,urdu_03-question-words_p2of2_social.png,Question Words & Connectors,social,2,2,sky,"English vs Urdu — Question Words & Connectors (part 2 of 2)
Then / again = Phir · Also / too = Bhi · Only = Sirf
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""Question Words & Connectors"", listing 15 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #QuestionWords
2026-08-18 13:00,2026-08-18,13:00,speaksilq_urdu,Urdu,04_urdu/urdu_31-work-professions_p2of2_learn.png,urdu_31-work-professions_p2of2_learn.png,Work & Professions,learn,2,2,rose-quartz,"English vs Urdu — Work & Professions (part 2 of 2)
Barber = Naai · Carpenter = Barhai · Blacksmith = Lohaar
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""Work & Professions"", listing 12 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #WorkProfessions
2026-08-19 01:00,2026-08-19,01:00,speaksilq_urdu,Urdu,04_urdu/urdu_09-daily-routine_p3of3_time.png,urdu_09-daily-routine_p3of3_time.png,Daily Routine & Habits,time,3,3,pistachio,"English vs Urdu — Daily Routine & Habits (part 3 of 3)
Every morning = Har subah · Usually = Aam taur par · First of all = Sab se pehle
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""Daily Routine & Habits"", listing 11 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #DailyRoutine
2026-08-19 13:00,2026-08-19,13:00,speaksilq_urdu,Urdu,04_urdu/urdu_25-hotel-accommodation_p1of2_travel.png,urdu_25-hotel-accommodation_p1of2_travel.png,Hotel & Accommodation,travel,1,2,powder-blue,"English vs Urdu — Hotel & Accommodation (part 1 of 2)
Hotel = Hotel · Reception = Istaqbaliya · Booking = Booking
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""Hotel & Accommodation"", listing 13 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #HotelAccommodation
2026-08-20 01:00,2026-08-20,01:00,speaksilq_urdu,Urdu,04_urdu/urdu_26-nature-weather_p2of2_world.png,urdu_26-nature-weather_p2of2_world.png,Nature & Weather,world,2,2,coral-mist,"English vs Urdu — Nature & Weather (part 2 of 2)
Mountain = Pahaar · River = Darya · Sea = Samandar
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""Nature & Weather"", listing 15 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #NatureWeather
2026-08-20 13:00,2026-08-20,13:00,speaksilq_urdu,Urdu,04_urdu/urdu_18-home-household_p1of2_home.png,urdu_18-home-household_p1of2_home.png,Home & Household,home,1,2,honeydew,"English vs Urdu — Home & Household (part 1 of 2)
House = Ghar · Room = Kamra · Bedroom = Sone ka kamra
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""Home & Household"", listing 15 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #HomeHousehold
2026-08-21 01:00,2026-08-21,01:00,speaksilq_urdu,Urdu,04_urdu/urdu_34-sports-leisure_p2of2_learn.png,urdu_34-sports-leisure_p2of2_learn.png,Sports & Leisure,learn,2,2,periwinkle,"English vs Urdu — Sports & Leisure (part 2 of 2)
Swimming = Tairaki · Running = Daur · Music = Mausiqi
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""Sports & Leisure"", listing 10 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #SportsLeisure
2026-08-21 13:00,2026-08-21,13:00,speaksilq_urdu,Urdu,04_urdu/urdu_12-body-parts_p2of2_people.png,urdu_12-body-parts_p2of2_people.png,Body Parts,people,2,2,peach,"English vs Urdu — Body Parts (part 2 of 2)
Finger = Ungli · Nail = Nakhun · Chest = Seena
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""Body Parts"", listing 15 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #BodyParts
2026-08-22 01:00,2026-08-22,01:00,speaksilq_urdu,Urdu,04_urdu/urdu_27-animals-birds_p1of2_world.png,urdu_27-animals-birds_p1of2_world.png,Animals & Birds,world,1,2,sage,"English vs Urdu — Animals & Birds (part 1 of 2)
Animal = Jaanwar · Dog = Kutta · Cat = Billi
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""Animals & Birds"", listing 13 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #AnimalsBirds
2026-08-22 13:00,2026-08-22,13:00,speaksilq_urdu,Urdu,04_urdu/urdu_17-restaurant-ordering_p2of2_food.png,urdu_17-restaurant-ordering_p2of2_food.png,Restaurant & Ordering,food,2,2,lavender,"English vs Urdu — Restaurant & Ordering (part 2 of 2)
Not too spicy, please = Zyada teekha na ho · Without meat = Gosht ke baghair · A glass of water, please = Ek glass paani dijiye
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""Restaurant & Ordering"", listing 15 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #RestaurantOrdering
2026-08-23 01:00,2026-08-23,01:00,speaksilq_urdu,Urdu,04_urdu/urdu_01-greetings-courtesy_p3of3_social.png,urdu_01-greetings-courtesy_p3of3_social.png,Greetings & Courtesy,social,3,3,champagne,"English vs Urdu — Greetings & Courtesy (part 3 of 3)
Happy birthday = Salgirah mubarak · Best wishes = Nek tamannayen · Nice to meet you = Aap se mil kar khushi hui
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""Greetings & Courtesy"", listing 11 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #GreetingsCourtesy
2026-08-23 13:00,2026-08-23,13:00,speaksilq_urdu,Urdu,04_urdu/urdu_29-common-verbs_p2of4_learn.png,urdu_29-common-verbs_p2of4_learn.png,Common Verbs,learn,2,4,mint,"English vs Urdu — Common Verbs (part 2 of 4)
To learn = Seekhna · To teach = Sikhana · To understand = Samajhna
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""Common Verbs"", listing 14 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #CommonVerbs
2026-08-24 01:00,2026-08-24,01:00,speaksilq_urdu,Urdu,04_urdu/urdu_20-shopping-money_p2of2_home.png,urdu_20-shopping-money_p2of2_home.png,Shopping & Money,home,2,2,lilac,"English vs Urdu — Shopping & Money (part 2 of 2)
Profit = Munafa · Loss = Nuqsan · Tax = Tax
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""Shopping & Money"", listing 15 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #ShoppingMoney
2026-08-24 13:00,2026-08-24,13:00,speaksilq_urdu,Urdu,04_urdu/urdu_22-travel-transport_p2of3_travel.png,urdu_22-travel-transport_p2of3_travel.png,Travel & Transport,travel,2,3,sand,"English vs Urdu — Travel & Transport (part 2 of 3)
Railway station = Station · Bus stop = Bus stop · Ticket = Ticket
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""Travel & Transport"", listing 12 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #TravelTransport
2026-08-25 01:00,2026-08-25,01:00,speaksilq_urdu,Urdu,04_urdu/urdu_13-health-medical_p2of2_people.png,urdu_13-health-medical_p2of2_people.png,Health & Medical,people,2,2,seafoam,"English vs Urdu — Health & Medical (part 2 of 2)
Wound = Zakhm · Blood pressure = Blood pressure · Diabetes = Zeyabetes
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""Health & Medical"", listing 15 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #HealthMedical
2026-08-25 13:00,2026-08-25,13:00,speaksilq_urdu,Urdu,04_urdu/urdu_04-people-pronouns_p2of2_social.png,urdu_04-people-pronouns_p2of2_social.png,People & Pronouns,social,2,2,orchid,"English vs Urdu — People & Pronouns (part 2 of 2)
Old man = Boorha · Old woman = Boorhi · Stranger = Ajnabi
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""People & Pronouns"", listing 15 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #PeoplePronouns
2026-08-26 01:00,2026-08-26,01:00,speaksilq_urdu,Urdu,04_urdu/urdu_33-technology-communication_p1of2_learn.png,urdu_33-technology-communication_p1of2_learn.png,Technology & Communication,learn,1,2,butter,"English vs Urdu — Technology & Communication (part 1 of 2)
Phone = Phone · Mobile phone = Mobile · Computer = Computer
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""Technology & Communication"", listing 13 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #TechnologyCommunication
2026-08-26 13:00,2026-08-26,13:00,speaksilq_urdu,Urdu,04_urdu/urdu_19-clothing-accessories_p2of2_home.png,urdu_19-clothing-accessories_p2of2_home.png,Clothing & Accessories,home,2,2,aqua-mist,"English vs Urdu — Clothing & Accessories (part 2 of 2)
Belt = Belt · Watch = Ghadi · Ring = Anguthi
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""Clothing & Accessories"", listing 12 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #ClothingAccessories
2026-08-27 01:00,2026-08-27,01:00,speaksilq_urdu,Urdu,04_urdu/urdu_07-time-frequency_p1of3_time.png,urdu_07-time-frequency_p1of3_time.png,Time & Frequency,time,1,3,blush,"English vs Urdu — Time & Frequency (part 1 of 3)
Time = Waqt · Hour = Ghanta · Minute = Minute
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""Time & Frequency"", listing 12 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #TimeFrequency
2026-08-27 13:00,2026-08-27,13:00,speaksilq_urdu,Urdu,04_urdu/urdu_24-city-places_p1of2_travel.png,urdu_24-city-places_p1of2_travel.png,City & Places,travel,1,2,lemon-ice,"English vs Urdu — City & Places (part 1 of 2)
City = Sheher · Village = Gaon · Country = Mulk
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""City & Places"", listing 13 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #CityPlaces
2026-08-28 01:00,2026-08-28,01:00,speaksilq_urdu,Urdu,04_urdu/urdu_11-emotions-feelings_p2of2_people.png,urdu_11-emotions-feelings_p2of2_people.png,Emotions & Feelings,people,2,2,sky,"English vs Urdu — Emotions & Feelings (part 2 of 2)
Courage = Himmat · Trust = Bharosa · Respect = Izzat
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""Emotions & Feelings"", listing 15 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #EmotionsFeelings
2026-08-28 13:00,2026-08-28,13:00,speaksilq_urdu,Urdu,04_urdu/urdu_18-home-household_p2of2_home.png,urdu_18-home-household_p2of2_home.png,Home & Household,home,2,2,rose-quartz,"English vs Urdu — Home & Household (part 2 of 2)
Blanket = Kambal · Sheet = Chadar · Cupboard = Almari
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""Home & Household"", listing 15 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #HomeHousehold
2026-08-29 01:00,2026-08-29,01:00,speaksilq_urdu,Urdu,04_urdu/urdu_35-religion-culture_p1of2_learn.png,urdu_35-religion-culture_p1of2_learn.png,Religion & Culture,learn,1,2,pistachio,"English vs Urdu — Religion & Culture (part 1 of 2)
Religion = Mazhab · God = Allah · Prayer (salah) = Namaz
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""Religion & Culture"", listing 10 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #ReligionCulture
2026-08-29 13:00,2026-08-29,13:00,speaksilq_urdu,Urdu,04_urdu/urdu_08-days-months-seasons_p2of2_time.png,urdu_08-days-months-seasons_p2of2_time.png,"Days, Months & Seasons",time,2,2,powder-blue,"English vs Urdu — Days, Months & Seasons (part 2 of 2)
September = Sitambar · October = Aktoobar · November = Navambar
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""Days, Months & Seasons"", listing 15 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #DaysMonthsSeasons
2026-08-30 01:00,2026-08-30,01:00,speaksilq_urdu,Urdu,04_urdu/urdu_14-food-drink_p1of3_food.png,urdu_14-food-drink_p1of3_food.png,Food & Drink,food,1,3,coral-mist,"English vs Urdu — Food & Drink (part 1 of 3)
Food = Khana · Water = Paani · Bread / flatbread = Roti
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""Food & Drink"", listing 14 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #FoodDrink
2026-08-30 13:00,2026-08-30,13:00,speaksilq_urdu,Urdu,04_urdu/urdu_21-colours_p2of2_home.png,urdu_21-colours_p2of2_home.png,Colours,home,2,2,honeydew,"English vs Urdu — Colours (part 2 of 2)
Brown = Bhoora · Grey = Sulaiti · Golden = Sunehra
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""Colours"", listing 10 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #Colours
2026-08-31 01:00,2026-08-31,01:00,speaksilq_urdu,Urdu,04_urdu/urdu_34-sports-leisure_p1of2_learn.png,urdu_34-sports-leisure_p1of2_learn.png,Sports & Leisure,learn,1,2,periwinkle,"English vs Urdu — Sports & Leisure (part 1 of 2)
Game / sport = Khel · Cricket = Cricket · Football = Football
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""Sports & Leisure"", listing 10 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #SportsLeisure
