post_at_local,post_date,post_time,account,language,file_path,filename,category,theme,part,parts,palette,caption,alt_text,hashtags
2026-08-17 01:00,2026-08-17,01:00,speaksilq_bengali,Bengali,05_bengali/bengali_02-everyday-phrases_p9of11_social.png,bengali_02-everyday-phrases_p9of11_social.png,Everyday Phrases,social,9,11,blush,"English vs Bengali — Everyday Phrases (part 9 of 11)
Don't do that = eta korben na · It's my fault = eta amar dosh · It's not my fault = eta amar dosh noy
Learn Bengali and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Bengali"", subtitle ""Everyday Phrases"", listing 12 English words with their Bengali romanisations.",#SpeakSilq #LearnBengali #Bengali #LanguageLearning #Vocabulary #EverydayPhrases
2026-08-17 13:00,2026-08-17,13:00,speaksilq_bengali,Bengali,05_bengali/bengali_32-education-school_p3of3_learn.png,bengali_32-education-school_p3of3_learn.png,Education & School,learn,3,3,lemon-ice,"English vs Bengali — Education & School (part 3 of 3)
Bengali (language) = Bangla · English (language) = Ingreji · Grammar = bêakoron
Learn Bengali and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Bengali"", subtitle ""Education & School"", listing 13 English words with their Bengali romanisations.",#SpeakSilq #LearnBengali #Bengali #LanguageLearning #Vocabulary #EducationSchool
2026-08-18 01:00,2026-08-18,01:00,speaksilq_bengali,Bengali,05_bengali/bengali_14-food-drink_p5of6_food.png,bengali_14-food-drink_p5of6_food.png,Food & Drink,food,5,6,sky,"English vs Bengali — Food & Drink (part 5 of 6)
Tea = cha · Coffee = kofi · Juice = rosh
Learn Bengali and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Bengali"", subtitle ""Food & Drink"", listing 13 English words with their Bengali romanisations.",#SpeakSilq #LearnBengali #Bengali #LanguageLearning #Vocabulary #FoodDrink
2026-08-18 13:00,2026-08-18,13:00,speaksilq_bengali,Bengali,05_bengali/bengali_21-colours_p2of2_home.png,bengali_21-colours_p2of2_home.png,Colours & Shapes,home,2,2,rose-quartz,"English vs Bengali — Colours & Shapes (part 2 of 2)
Silver = rupali · Light (shade) = halka · Dark (shade) = gaaro
Learn Bengali and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Bengali"", subtitle ""Colours & Shapes"", listing 13 English words with their Bengali romanisations.",#SpeakSilq #LearnBengali #Bengali #LanguageLearning #Vocabulary #Colours
2026-08-19 01:00,2026-08-19,01:00,speaksilq_bengali,Bengali,05_bengali/bengali_07-time-frequency_p6of6_time.png,bengali_07-time-frequency_p6of6_time.png,Time & Calendar,time,6,6,pistachio,"English vs Bengali — Time & Calendar (part 6 of 6)
Kartik (7th Bengali month) = Kartik · Ogrohayon (8th Bengali month) = Ogrohayon · Poush (9th Bengali month) = Poush
Learn Bengali and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Bengali"", subtitle ""Time & Calendar"", listing 12 English words with their Bengali romanisations.",#SpeakSilq #LearnBengali #Bengali #LanguageLearning #Vocabulary #TimeFrequency
2026-08-19 13:00,2026-08-19,13:00,speaksilq_bengali,Bengali,05_bengali/bengali_31-work-professions_p4of4_learn.png,bengali_31-work-professions_p4of4_learn.png,Work & Occupations,learn,4,4,powder-blue,"English vs Bengali — Work & Occupations (part 4 of 4)
Writer = lekhok · Poet = kobi · Singer = shilpi
Learn Bengali and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Bengali"", subtitle ""Work & Occupations"", listing 10 English words with their Bengali romanisations.",#SpeakSilq #LearnBengali #Bengali #LanguageLearning #Vocabulary #WorkProfessions
2026-08-20 01:00,2026-08-20,01:00,speaksilq_bengali,Bengali,05_bengali/bengali_02-everyday-phrases_p8of11_social.png,bengali_02-everyday-phrases_p8of11_social.png,Everyday Phrases,social,8,11,coral-mist,"English vs Bengali — Everyday Phrases (part 8 of 11)
Thank God = Alhamdulillah · Help! = bãchao! · Danger! = bipod!
Learn Bengali and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Bengali"", subtitle ""Everyday Phrases"", listing 12 English words with their Bengali romanisations.",#SpeakSilq #LearnBengali #Bengali #LanguageLearning #Vocabulary #EverydayPhrases
2026-08-20 13:00,2026-08-20,13:00,speaksilq_bengali,Bengali,05_bengali/bengali_22-travel-transport_p4of4_travel.png,bengali_22-travel-transport_p4of4_travel.png,Travel & Transport,travel,4,4,honeydew,"English vs Bengali — Travel & Transport (part 4 of 4)
Please stop here = ekhane thamun · I want to go to Dhaka = ami Dhaka jete chai · When does the bus leave? = bash kokhon charbe?
Learn Bengali and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Bengali"", subtitle ""Travel & Transport"", listing 12 English words with their Bengali romanisations.",#SpeakSilq #LearnBengali #Bengali #LanguageLearning #Vocabulary #TravelTransport
2026-08-21 01:00,2026-08-21,01:00,speaksilq_bengali,Bengali,05_bengali/bengali_10-family-relationships_p4of5_people.png,bengali_10-family-relationships_p4of5_people.png,Family & People,people,4,5,periwinkle,"English vs Bengali — Family & People (part 4 of 5)
Daughter-in-law = putrobodhu · Relative = attiyo · Friend = bondhu
Learn Bengali and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Bengali"", subtitle ""Family & People"", listing 10 English words with their Bengali romanisations.",#SpeakSilq #LearnBengali #Bengali #LanguageLearning #Vocabulary #FamilyRelationships
2026-08-21 13:00,2026-08-21,13:00,speaksilq_bengali,Bengali,05_bengali/bengali_29-common-verbs_p6of7_learn.png,bengali_29-common-verbs_p6of7_learn.png,Common Verbs,learn,6,7,peach,"English vs Bengali — Common Verbs (part 6 of 7)
To build / make = toiri kora · To wear = pora · To drive = gari chalano
Learn Bengali and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Bengali"", subtitle ""Common Verbs"", listing 13 English words with their Bengali romanisations.",#SpeakSilq #LearnBengali #Bengali #LanguageLearning #Vocabulary #CommonVerbs
