post_at_local,post_date,post_time,account,language,file_path,filename,category,theme,part,parts,palette,caption,alt_text,hashtags
2026-08-17 01:00,2026-08-17,01:00,speaksilq_bengali,Bengali,05_bengali/bengali_02-everyday-phrases_p9of11_social.png,bengali_02-everyday-phrases_p9of11_social.png,Everyday Phrases,social,9,11,blush,"English vs Bengali — Everyday Phrases (part 9 of 11)
Don't do that = eta korben na · It's my fault = eta amar dosh · It's not my fault = eta amar dosh noy
Learn Bengali and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Bengali"", subtitle ""Everyday Phrases"", listing 12 English words with their Bengali romanisations.",#SpeakSilq #LearnBengali #Bengali #LanguageLearning #Vocabulary #EverydayPhrases
2026-08-17 01:00,2026-08-17,01:00,speaksilq_dari,Dari,03_dari/dari_03-question-words_p2of3_social.png,dari_03-question-words_p2of3_social.png,Question Words & Connectors,social,2,3,blush,"English vs Dari — Question Words & Connectors (part 2 of 3)
And = Wa · Or = Ya · But = Ama
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""Question Words & Connectors"", listing 10 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #QuestionWords
2026-08-17 01:00,2026-08-17,01:00,speaksilq_farsi,Farsi,02_farsi/farsi_29-common-verbs_p7of10_learn.png,farsi_29-common-verbs_p7of10_learn.png,Common Verbs,learn,7,10,blush,"English vs Farsi — Common Verbs (part 7 of 10)
to exit = khârej shodan · to live = zendegi kardan · to die = mordan
Learn Farsi and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Farsi"", subtitle ""Common Verbs"", listing 11 English words with their Farsi romanisations.",#SpeakSilq #LearnFarsi #Farsi #LanguageLearning #Vocabulary #CommonVerbs
2026-08-17 01:00,2026-08-17,01:00,speaksilq_pashto,Pashto,01_pashto/pashto_11-emotions-feelings_p1of3_people.png,pashto_11-emotions-feelings_p1of3_people.png,Emotions & Feelings,people,1,3,blush,"English vs Pashto — Emotions & Feelings (part 1 of 3)
Happiness = Khushaali · Sadness = Khapagaan · Love = Meena
Learn Pashto and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Pashto"", subtitle ""Emotions & Feelings"", listing 10 English words with their Pashto romanisations.",#SpeakSilq #LearnPashto #Pashto #LanguageLearning #Vocabulary #EmotionsFeelings
2026-08-17 01:00,2026-08-17,01:00,speaksilq_urdu,Urdu,04_urdu/urdu_15-fruits-vegetables_p2of2_food.png,urdu_15-fruits-vegetables_p2of2_food.png,Fruits & Vegetables,food,2,2,blush,"English vs Urdu — Fruits & Vegetables (part 2 of 2)
Potato = Aloo · Onion = Pyaz · Tomato = Tamatar
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""Fruits & Vegetables"", listing 15 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #FruitsVegetables
2026-08-17 13:00,2026-08-17,13:00,speaksilq_bengali,Bengali,05_bengali/bengali_32-education-school_p3of3_learn.png,bengali_32-education-school_p3of3_learn.png,Education & School,learn,3,3,lemon-ice,"English vs Bengali — Education & School (part 3 of 3)
Bengali (language) = Bangla · English (language) = Ingreji · Grammar = bêakoron
Learn Bengali and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Bengali"", subtitle ""Education & School"", listing 13 English words with their Bengali romanisations.",#SpeakSilq #LearnBengali #Bengali #LanguageLearning #Vocabulary #EducationSchool
2026-08-17 13:00,2026-08-17,13:00,speaksilq_dari,Dari,03_dari/dari_34-sports-leisure_p1of2_learn.png,dari_34-sports-leisure_p1of2_learn.png,Sports & Leisure,learn,1,2,lemon-ice,"English vs Dari — Sports & Leisure (part 1 of 2)
Game / sport = Bazi · Football = Futbal · Cricket = Kriket
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""Sports & Leisure"", listing 10 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #SportsLeisure
2026-08-17 13:00,2026-08-17,13:00,speaksilq_farsi,Farsi,02_farsi/farsi_14-food-drink_p8of8_food.png,farsi_14-food-drink_p8of8_food.png,Food & Drink,food,8,8,lemon-ice,"English vs Farsi — Food & Drink (part 8 of 8)
Waiter = gârson · Delicious = khoshmaze · Spicy = tond
Learn Farsi and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Farsi"", subtitle ""Food & Drink"", listing 10 English words with their Farsi romanisations.",#SpeakSilq #LearnFarsi #Farsi #LanguageLearning #Vocabulary #FoodDrink
2026-08-17 13:00,2026-08-17,13:00,speaksilq_pashto,Pashto,01_pashto/pashto_14-food-drink_p1of4_food.png,pashto_14-food-drink_p1of4_food.png,Food & Drink,food,1,4,lemon-ice,"English vs Pashto — Food & Drink (part 1 of 4)
Food = Khwara · Bread / meal = Dodai · Water = Oba
Learn Pashto and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Pashto"", subtitle ""Food & Drink"", listing 10 English words with their Pashto romanisations.",#SpeakSilq #LearnPashto #Pashto #LanguageLearning #Vocabulary #FoodDrink
2026-08-17 13:00,2026-08-17,13:00,speaksilq_urdu,Urdu,04_urdu/urdu_10-family-relationships_p3of3_people.png,urdu_10-family-relationships_p3of3_people.png,Family & Relationships,people,3,3,lemon-ice,"English vs Urdu — Family & Relationships (part 3 of 3)
Granddaughter = Poti · Father-in-law = Susar · Mother-in-law = Saas
Learn Urdu and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Urdu"", subtitle ""Family & Relationships"", listing 11 English words with their Urdu romanisations.",#SpeakSilq #LearnUrdu #Urdu #LanguageLearning #Vocabulary #FamilyRelationships
