file_path,filename,language,account,category,category_code,category_slug,theme,part,parts,rows,palette,background_hex,accent_hex,has_flag,post_at_local,post_date,post_time,post_index,caption,alt_text,hashtags,source_file
01_pashto/pashto_01-greetings-courtesy_p1of3_social.png,pashto_01-greetings-courtesy_p1of3_social.png,Pashto,speaksilq_pashto,Greetings & Courtesy,01,greetings-courtesy,social,1,3,12,periwinkle,#D9DDF7,#1B287E,yes,2026-08-21 01:00,2026-08-21,01:00,9,"English vs Pashto — Greetings & Courtesy (part 1 of 3)
Peace be upon you (hello) = Assalam alaikum · And peace be upon you (reply) = Wa alaikum assalam · Hello / Hi = Salam
Learn Pashto and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Pashto"", subtitle ""Greetings & Courtesy"", listing 12 English words with their Pashto romanisations.",#SpeakSilq #LearnPashto #Pashto #LanguageLearning #Vocabulary #GreetingsCourtesy,speaksilq_pashto_graphics/speaksilq_pashto_graphics 2/01_greetings-courtesy/001_greetingscourtesy_1.jpg
01_pashto/pashto_01-greetings-courtesy_p2of3_social.png,pashto_01-greetings-courtesy_p2of3_social.png,Pashto,speaksilq_pashto,Greetings & Courtesy,01,greetings-courtesy,social,2,3,12,seafoam,#C6EFE8,#196B5D,yes,2026-09-24 01:00,2026-09-24,01:00,77,"English vs Pashto — Greetings & Courtesy (part 2 of 3)
Thank you very much = Dera manana · You're welcome = Qaabil ye na lari · Please = Mehrabaani wukrey
Learn Pashto and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Pashto"", subtitle ""Greetings & Courtesy"", listing 12 English words with their Pashto romanisations.",#SpeakSilq #LearnPashto #Pashto #LanguageLearning #Vocabulary #GreetingsCourtesy,speaksilq_pashto_graphics/speaksilq_pashto_graphics 2/01_greetings-courtesy/002_greetingscourtesy_2.jpg
01_pashto/pashto_01-greetings-courtesy_p3of3_social.png,pashto_01-greetings-courtesy_p3of3_social.png,Pashto,speaksilq_pashto,Greetings & Courtesy,01,greetings-courtesy,social,3,3,11,periwinkle,#D9DDF7,#1B287E,yes,2026-09-30 01:00,2026-09-30,01:00,89,"English vs Pashto — Greetings & Courtesy (part 3 of 3)
Happy birthday = Da zeegedo wradz mo mubaarak · Best wishes = She hile · Nice to meet you = Staaso pa lido khushaala shwam
Learn Pashto and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Pashto"", subtitle ""Greetings & Courtesy"", listing 11 English words with their Pashto romanisations.",#SpeakSilq #LearnPashto #Pashto #LanguageLearning #Vocabulary #GreetingsCourtesy,speaksilq_pashto_graphics/speaksilq_pashto_graphics 2/01_greetings-courtesy/003_greetingscourtesy_3.jpg
01_pashto/pashto_02-everyday-phrases_p1of4_social.png,pashto_02-everyday-phrases_p1of4_social.png,Pashto,speaksilq_pashto,Everyday Phrases,02,everyday-phrases,social,1,4,10,lavender,#E1D8F5,#3B1D7C,yes,2026-09-21 13:00,2026-09-21,13:00,72,"English vs Pashto — Everyday Phrases (part 1 of 4)
How are things? = Kaar o baar tsanga dai? · Everything is fine = Har tsa sha di · Long time no see = Der wakht wa che na wu lidali
Learn Pashto and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Pashto"", subtitle ""Everyday Phrases"", listing 10 English words with their Pashto romanisations.",#SpeakSilq #LearnPashto #Pashto #LanguageLearning #Vocabulary #EverydayPhrases,speaksilq_pashto_graphics/33_everyday-phrases/089_everydayphrases_1.jpg
01_pashto/pashto_02-everyday-phrases_p2of4_social.png,pashto_02-everyday-phrases_p2of4_social.png,Pashto,speaksilq_pashto,Everyday Phrases,02,everyday-phrases,social,2,4,10,orchid,#F7D9EE,#7E1B60,yes,2026-08-25 13:00,2026-08-25,13:00,18,"English vs Pashto — Everyday Phrases (part 2 of 4)
Speak slowly, please = Wro khabare wukrey · What does this mean? = Daa tsa manaa lari? · How do you say this in Pashto? = Pa Pashto ke dey ta tsa waayi?
Learn Pashto and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Pashto"", subtitle ""Everyday Phrases"", listing 10 English words with their Pashto romanisations.",#SpeakSilq #LearnPashto #Pashto #LanguageLearning #Vocabulary #EverydayPhrases,speaksilq_pashto_graphics/33_everyday-phrases/090_everydayphrases_2.jpg
01_pashto/pashto_02-everyday-phrases_p3of4_social.png,pashto_02-everyday-phrases_p3of4_social.png,Pashto,speaksilq_pashto,Everyday Phrases,02,everyday-phrases,social,3,4,10,lemon-ice,#F4F1C4,#676213,yes,2026-09-16 13:00,2026-09-16,13:00,62,"English vs Pashto — Everyday Phrases (part 3 of 4)
Wait for me = Zmaa intizaar wukrey · I am busy right now = Za os masruf yam · I am ready = Za tayaar yam
Learn Pashto and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Pashto"", subtitle ""Everyday Phrases"", listing 10 English words with their Pashto romanisations.",#SpeakSilq #LearnPashto #Pashto #LanguageLearning #Vocabulary #EverydayPhrases,speaksilq_pashto_graphics/33_everyday-phrases/091_everydayphrases_3.jpg
01_pashto/pashto_02-everyday-phrases_p4of4_social.png,pashto_02-everyday-phrases_p4of4_social.png,Pashto,speaksilq_pashto,Everyday Phrases,02,everyday-phrases,social,4,4,10,peach,#FFE3C9,#994A00,yes,2026-09-10 13:00,2026-09-10,13:00,50,"English vs Pashto — Everyday Phrases (part 4 of 4)
I forgot = Maa her kra · Can you help me? = Taaso zmaa sara mrasta kawalay shay? · Of course, with pleasure = Albata, pa khwashai sara
Learn Pashto and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Pashto"", subtitle ""Everyday Phrases"", listing 10 English words with their Pashto romanisations.",#SpeakSilq #LearnPashto #Pashto #LanguageLearning #Vocabulary #EverydayPhrases,speaksilq_pashto_graphics/33_everyday-phrases/092_everydayphrases_4.jpg
01_pashto/pashto_03-question-words_p1of3_social.png,pashto_03-question-words_p1of3_social.png,Pashto,speaksilq_pashto,Question Words & Connectors,03,question-words,social,1,3,10,sky,#CFE6F7,#165583,yes,2026-09-27 01:00,2026-09-27,01:00,83,"English vs Pashto — Question Words & Connectors (part 1 of 3)
What = Tsa · Who = Tsok dai · Where = Cherta
Learn Pashto and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Pashto"", subtitle ""Question Words & Connectors"", listing 10 English words with their Pashto romanisations.",#SpeakSilq #LearnPashto #Pashto #LanguageLearning #Vocabulary #QuestionWords,speaksilq_pashto_graphics/speaksilq_pashto_graphics 2/06_question-words-connectors/016_questionwordsconnectors_1.jpg
01_pashto/pashto_03-question-words_p2of3_social.png,pashto_03-question-words_p2of3_social.png,Pashto,speaksilq_pashto,Question Words & Connectors,03,question-words,social,2,3,10,pistachio,#E4F0C4,#556B19,yes,2026-08-19 01:00,2026-08-19,01:00,5,"English vs Pashto — Question Words & Connectors (part 2 of 3)
And = Aw · Or = Yaa · But = Kho
Learn Pashto and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Pashto"", subtitle ""Question Words & Connectors"", listing 10 English words with their Pashto romanisations.",#SpeakSilq #LearnPashto #Pashto #LanguageLearning #Vocabulary #QuestionWords,speaksilq_pashto_graphics/speaksilq_pashto_graphics 2/06_question-words-connectors/017_questionwordsconnectors_2.jpg
01_pashto/pashto_03-question-words_p3of3_social.png,pashto_03-question-words_p3of3_social.png,Pashto,speaksilq_pashto,Question Words & Connectors,03,question-words,social,3,3,10,honeydew,#D9F2D0,#2F6B19,yes,2026-08-30 13:00,2026-08-30,13:00,28,"English vs Pashto — Question Words & Connectors (part 3 of 3)
With = Sara · Without = Bagher la · For = Depaara
Learn Pashto and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Pashto"", subtitle ""Question Words & Connectors"", listing 10 English words with their Pashto romanisations.",#SpeakSilq #LearnPashto #Pashto #LanguageLearning #Vocabulary #QuestionWords,speaksilq_pashto_graphics/speaksilq_pashto_graphics 2/06_question-words-connectors/018_questionwordsconnectors_3.jpg
