post_at_local,post_date,post_time,account,language,file_path,filename,category,theme,part,parts,palette,caption,alt_text,hashtags
2026-08-17 01:00,2026-08-17,01:00,speaksilq_dari,Dari,03_dari/dari_03-question-words_p2of3_social.png,dari_03-question-words_p2of3_social.png,Question Words & Connectors,social,2,3,blush,"English vs Dari — Question Words & Connectors (part 2 of 3)
And = Wa · Or = Ya · But = Ama
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""Question Words & Connectors"", listing 10 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #QuestionWords
2026-08-17 13:00,2026-08-17,13:00,speaksilq_dari,Dari,03_dari/dari_34-sports-leisure_p1of2_learn.png,dari_34-sports-leisure_p1of2_learn.png,Sports & Leisure,learn,1,2,lemon-ice,"English vs Dari — Sports & Leisure (part 1 of 2)
Game / sport = Bazi · Football = Futbal · Cricket = Kriket
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""Sports & Leisure"", listing 10 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #SportsLeisure
2026-08-18 01:00,2026-08-18,01:00,speaksilq_dari,Dari,03_dari/dari_11-emotions-feelings_p1of3_people.png,dari_11-emotions-feelings_p1of3_people.png,Emotions & Feelings,people,1,3,sky,"English vs Dari — Emotions & Feelings (part 1 of 3)
Happiness = Khushi · Sadness = Ghamgini · Love = Muhabbat
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""Emotions & Feelings"", listing 10 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #EmotionsFeelings
2026-08-18 13:00,2026-08-18,13:00,speaksilq_dari,Dari,03_dari/dari_14-food-drink_p1of4_food.png,dari_14-food-drink_p1of4_food.png,Food & Drink,food,1,4,rose-quartz,"English vs Dari — Food & Drink (part 1 of 4)
Food = Ghiza · Bread = Nan · Water = Ab
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""Food & Drink"", listing 10 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #FoodDrink
2026-08-19 01:00,2026-08-19,01:00,speaksilq_dari,Dari,03_dari/dari_22-travel-transport_p3of3_travel.png,dari_22-travel-transport_p3of3_travel.png,Travel & Transport,travel,3,3,pistachio,"English vs Dari — Travel & Transport (part 3 of 3)
Traffic = Terafik · Delay = Ta'khir · Arrival = Wurud
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""Travel & Transport"", listing 11 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #TravelTransport
2026-08-19 13:00,2026-08-19,13:00,speaksilq_dari,Dari,03_dari/dari_29-common-verbs_p5of5_learn.png,dari_29-common-verbs_p5of5_learn.png,Common Verbs,learn,5,5,powder-blue,"English vs Dari — Common Verbs (part 5 of 5)
To like = Pasand kardan · To bring = Awurdan · To send = Rawan kardan
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""Common Verbs"", listing 11 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #CommonVerbs
2026-08-20 01:00,2026-08-20,01:00,speaksilq_dari,Dari,03_dari/dari_10-family-relationships_p2of3_people.png,dari_10-family-relationships_p2of3_people.png,Family & Relationships,people,2,3,coral-mist,"English vs Dari — Family & Relationships (part 2 of 3)
Wife = Khanum · Grandfather = Bab-e kalan · Grandmother = Bibi
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""Family & Relationships"", listing 12 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #FamilyRelationships
2026-08-20 13:00,2026-08-20,13:00,speaksilq_dari,Dari,03_dari/dari_20-shopping-money_p1of3_home.png,dari_20-shopping-money_p1of3_home.png,Shopping & Money,home,1,3,honeydew,"English vs Dari — Shopping & Money (part 1 of 3)
Shop = Dukan · Shopkeeper = Dukandar · Market = Bazar
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""Shopping & Money"", listing 10 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #ShoppingMoney
2026-08-21 01:00,2026-08-21,01:00,speaksilq_dari,Dari,03_dari/dari_01-greetings-courtesy_p1of3_social.png,dari_01-greetings-courtesy_p1of3_social.png,Greetings & Courtesy,social,1,3,periwinkle,"English vs Dari — Greetings & Courtesy (part 1 of 3)
Peace be upon you (hello) = Assalam alaikum · And peace be upon you (reply) = Wa alaikum assalam · Hello / Hi = Salam
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""Greetings & Courtesy"", listing 12 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #GreetingsCourtesy
2026-08-21 13:00,2026-08-21,13:00,speaksilq_dari,Dari,03_dari/dari_30-adjectives-opposites_p3of4_learn.png,dari_30-adjectives-opposites_p3of4_learn.png,Adjectives & Opposites,learn,3,4,peach,"English vs Dari — Adjectives & Opposites (part 3 of 4)
Light (in weight) = Sabuk · Strong = qawi · Weak = Kamzor
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""Adjectives & Opposites"", listing 11 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #AdjectivesOpposites
2026-08-22 01:00,2026-08-22,01:00,speaksilq_dari,Dari,03_dari/dari_26-nature-weather_p3of3_world.png,dari_26-nature-weather_p3of3_world.png,Nature & Weather,world,3,3,sage,"English vs Dari — Nature & Weather (part 3 of 3)
Forest = Jangal · Tree = Derakht · Flower = Gul
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""Nature & Weather"", listing 10 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #NatureWeather
2026-08-22 13:00,2026-08-22,13:00,speaksilq_dari,Dari,03_dari/dari_09-daily-routine_p1of3_time.png,dari_09-daily-routine_p1of3_time.png,Daily Routine & Habits,time,1,3,lavender,"English vs Dari — Daily Routine & Habits (part 1 of 3)
Daily routine = Karhaye rozmarra · To get up = kheystan · To wash the face = Roy shustan
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""Daily Routine & Habits"", listing 12 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #DailyRoutine
2026-08-23 01:00,2026-08-23,01:00,speaksilq_dari,Dari,03_dari/dari_21-colours_p1of2_home.png,dari_21-colours_p1of2_home.png,Colours,home,1,2,champagne,"English vs Dari — Colours (part 1 of 2)
Colour = Rang · Red = Surkh · Blue = Abi
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""Colours"", listing 10 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #Colours
2026-08-23 13:00,2026-08-23,13:00,speaksilq_dari,Dari,03_dari/dari_17-restaurant-ordering_p2of3_food.png,dari_17-restaurant-ordering_p2of3_food.png,Restaurant & Ordering,food,2,3,mint,"English vs Dari — Restaurant & Ordering (part 2 of 3)
May I see the menu? = Menu ra dida metanum? · What do you recommend? = Shoma chi tawsiya mekunin? · I would like ... = Man ... mekhaham
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""Restaurant & Ordering"", listing 10 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #RestaurantOrdering
2026-08-24 01:00,2026-08-24,01:00,speaksilq_dari,Dari,03_dari/dari_34-sports-leisure_p2of2_learn.png,dari_34-sports-leisure_p2of2_learn.png,Sports & Leisure,learn,2,2,lilac,"English vs Dari — Sports & Leisure (part 2 of 2)
Victory = Piruzi · Defeat = Shikast · Swimming = Aabbazi
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""Sports & Leisure"", listing 10 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #SportsLeisure
2026-08-24 13:00,2026-08-24,13:00,speaksilq_dari,Dari,03_dari/dari_04-people-pronouns_p1of3_social.png,dari_04-people-pronouns_p1of3_social.png,People & Pronouns,social,1,3,sand,"English vs Dari — People & Pronouns (part 1 of 3)
I = Man · You (formal / plural) = Shoma · You (informal) = Tu
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""People & Pronouns"", listing 10 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #PeoplePronouns
2026-08-25 01:00,2026-08-25,01:00,speaksilq_dari,Dari,03_dari/dari_07-time-frequency_p3of3_time.png,dari_07-time-frequency_p3of3_time.png,Time & Frequency,time,3,3,seafoam,"English vs Dari — Time & Frequency (part 3 of 3)
Month = Mah · Year = Sal · Century = Qarn
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""Time & Frequency"", listing 11 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #TimeFrequency
2026-08-25 13:00,2026-08-25,13:00,speaksilq_dari,Dari,03_dari/dari_19-clothing-accessories_p2of2_home.png,dari_19-clothing-accessories_p2of2_home.png,Clothing & Accessories,home,2,2,orchid,"English vs Dari — Clothing & Accessories (part 2 of 2)
Turban = Lungi · Belt = Kamarband · Watch = Sa'at
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""Clothing & Accessories"", listing 12 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #ClothingAccessories
2026-08-26 01:00,2026-08-26,01:00,speaksilq_dari,Dari,03_dari/dari_13-health-medical_p1of3_people.png,dari_13-health-medical_p1of3_people.png,Health & Medical,people,1,3,butter,"English vs Dari — Health & Medical (part 1 of 3)
Health = Sehat · Doctor = Daktar · Hospital = Shafakhana
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""Health & Medical"", listing 10 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #HealthMedical
2026-08-26 13:00,2026-08-26,13:00,speaksilq_dari,Dari,03_dari/dari_02-everyday-phrases_p2of4_social.png,dari_02-everyday-phrases_p2of4_social.png,Everyday Phrases,social,2,4,aqua-mist,"English vs Dari — Everyday Phrases (part 2 of 4)
Speak slowly, please = Ahesta gap bizanin · What does this mean? = Ee chi ma'na dara? · How do you say this in Dari? = Ba Dari ee ra chi megoyan?
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""Everyday Phrases"", listing 10 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #EverydayPhrases
2026-08-27 01:00,2026-08-27,01:00,speaksilq_dari,Dari,03_dari/dari_29-common-verbs_p3of5_learn.png,dari_29-common-verbs_p3of5_learn.png,Common Verbs,learn,3,5,blush,"English vs Dari — Common Verbs (part 3 of 5)
To buy = Kharidan · To sell = Forokhtan · To work = Kar kardan
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""Common Verbs"", listing 11 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #CommonVerbs
2026-08-27 13:00,2026-08-27,13:00,speaksilq_dari,Dari,03_dari/dari_16-cooking-kitchen_p2of3_food.png,dari_16-cooking-kitchen_p2of3_food.png,Cooking & Kitchen,food,2,3,lemon-ice,"English vs Dari — Cooking & Kitchen (part 2 of 3)
Spoon = Qashuq · Fork = Panja · Knife = Kard
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""Cooking & Kitchen"", listing 10 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #CookingKitchen
2026-08-28 01:00,2026-08-28,01:00,speaksilq_dari,Dari,03_dari/dari_10-family-relationships_p3of3_people.png,dari_10-family-relationships_p3of3_people.png,Family & Relationships,people,3,3,sky,"English vs Dari — Family & Relationships (part 3 of 3)
Father-in-law = Khusur · Mother-in-law = Khushu · Son-in-law = Damad
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""Family & Relationships"", listing 11 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #FamilyRelationships
2026-08-28 13:00,2026-08-28,13:00,speaksilq_dari,Dari,03_dari/dari_24-city-places_p2of2_travel.png,dari_24-city-places_p2of2_travel.png,City & Places,travel,2,2,rose-quartz,"English vs Dari — City & Places (part 2 of 2)
Bakery = Nanwayi · Park = Park · Museum = Muzem
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""City & Places"", listing 12 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #CityPlaces
2026-08-29 01:00,2026-08-29,01:00,speaksilq_dari,Dari,03_dari/dari_33-technology-communication_p1of2_learn.png,dari_33-technology-communication_p1of2_learn.png,Technology & Communication,learn,1,2,pistachio,"English vs Dari — Technology & Communication (part 1 of 2)
Phone = Telefon · Mobile phone = Mobayl · Computer = Kampyutar
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""Technology & Communication"", listing 13 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #TechnologyCommunication
2026-08-29 13:00,2026-08-29,13:00,speaksilq_dari,Dari,03_dari/dari_08-days-months-seasons_p3of3_time.png,dari_08-days-months-seasons_p3of3_time.png,"Days, Months & Seasons",time,3,3,powder-blue,"English vs Dari — Days, Months & Seasons (part 3 of 3)
Summer = Tabestan · Autumn = Khazan · Winter = Zemestan
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""Days, Months & Seasons"", listing 10 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #DaysMonthsSeasons
2026-08-30 01:00,2026-08-30,01:00,speaksilq_dari,Dari,03_dari/dari_15-fruits-vegetables_p1of3_food.png,dari_15-fruits-vegetables_p1of3_food.png,Fruits & Vegetables,food,1,3,coral-mist,"English vs Dari — Fruits & Vegetables (part 1 of 3)
Fruit = Mewa · Apple = Seb · Banana = Kela
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""Fruits & Vegetables"", listing 10 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #FruitsVegetables
2026-08-30 13:00,2026-08-30,13:00,speaksilq_dari,Dari,03_dari/dari_12-body-parts_p3of3_people.png,dari_12-body-parts_p3of3_people.png,Body Parts,people,3,3,honeydew,"English vs Dari — Body Parts (part 3 of 3)
Heart = Dil · Leg = Pa · Knee = Zanu
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""Body Parts"", listing 10 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #BodyParts
2026-08-31 01:00,2026-08-31,01:00,speaksilq_dari,Dari,03_dari/dari_35-religion-culture_p1of2_learn.png,dari_35-religion-culture_p1of2_learn.png,Religion & Culture,learn,1,2,periwinkle,"English vs Dari — Religion & Culture (part 1 of 2)
Religion = Din · God = Khuda · Prayer (salah) = Namaz
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""Religion & Culture"", listing 10 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #ReligionCulture
2026-08-31 13:00,2026-08-31,13:00,speaksilq_dari,Dari,03_dari/dari_18-home-household_p2of3_home.png,dari_18-home-household_p2of3_home.png,Home & Household,home,2,3,peach,"English vs Dari — Home & Household (part 2 of 3)
Stairs = Zina · Key = Kelid · Lock = Qufl
Learn Dari and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Dari"", subtitle ""Home & Household"", listing 10 English words with their Dari romanisations.",#SpeakSilq #LearnDari #Dari #LanguageLearning #Vocabulary #HomeHousehold
